,Theme,Sub Theme,Feature Name,lat,lon,Near,poi_idx,Count
0,Transport,Railway Station,Flemington Bridge Railway Station,-37.788164588962104,144.939277838304,[],[],0.0
1,Mixed Use,Retail/Office/Carpark,Council House 2 (CH2),-37.814259143201106,144.966638432727,"['The Melbourne Athenaeum Library', 'Melbourne Town Hall']","[2, 89]",2.0
2,Place Of Assembly,Library,The Melbourne Athenaeum Library,-37.814885575641604,144.96729128994102,"['Council House 2 (CH2)', 'Collins Street Baptist Church', 'Melbourne Town Hall', 'Athanaeum Theatre']","[1, 28, 89, 168]",4.0
3,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Carlton Gardens South,-37.8060684577258,144.971266479841,[],[],0.0
4,Place of Worship,Church,St Francis Church,-37.8118847831837,144.962422614541,[],[],0.0
5,Place of Worship,Church,Wesley Church,-37.810157644696105,144.968168215633,[],[],0.0
6,Place of Worship,Church,St Augustines Church,-37.8169741358546,144.954862000132,[],[],0.0
7,Place of Worship,Church,St James Church,-37.8101281201969,144.952468571683,[],[],0.0
8,Place of Worship,Church,St Mary's Anglican Church,-37.8031663672997,144.953761537074,[],[],0.0
9,Place of Worship,Church,Romanian Orthodox,-37.805230729746796,144.96698644459698,[],[],0.0
10,Place of Worship,Church,Welsh Presbyterian Church,-37.8104478768313,144.959873260087,[],[],0.0
11,Place of Worship,Church,Church of Christ,-37.8104524079085,144.96388920293998,"['State Library Victoria', 'Melbourne Central Railway Station', 'Melbourne Central Railway Station']","[64, 164, 201]",3.0
12,Place of Worship,Church,Scots Church,-37.8145687802664,144.96855105334998,"[""St Michael's Uniting Church"", 'Collins Street Baptist Church']","[13, 28]",2.0
13,Place of Worship,Church,St Michael's Uniting Church,-37.814385132491296,144.969174036096,['Scots Church'],[12],1.0
14,Place of Worship,Church,Greek Orthodox Church,-37.8088064667555,144.97825908926902,[],[],0.0
15,Place of Worship,Church,St Peter's Eastern Hill,-37.8097086714637,144.975259178609,['St Patricks Cathedral'],[86],1.0
16,Place of Worship,Church,Lutheran Trinity Church,-37.8109757054396,144.975729473552,['St Patricks Cathedral'],[86],1.0
17,Place of Worship,Church,Holy Trinity,-37.8140667110854,144.98319732228902,[],[],0.0
18,Place of Worship,Church,St Johns Lutheran Church,-37.8209399677168,144.967121099857,[],[],0.0
19,Place of Worship,Church,North Melbourne Uniting,-37.8035538471344,144.947671538375,[],[],0.0
20,Place of Worship,Church,Melbourne Unitarian Church,-37.81144877733939,144.984664890999,['Mercy Private Hospital'],[239],1.0
21,Place of Worship,Church,All Nations Uniting Church,-37.7959155303946,144.968981110942,[],[],0.0
22,Place of Worship,Church,Our Lady of Lebanon Church,-37.802576653968295,144.969334720932,[],[],0.0
23,Place of Worship,Church,St Michaels,-37.7940512679297,144.945399480629,[],[],0.0
24,Place of Worship,Church,Ukranian Catholic Cathedral,-37.7963084580345,144.944313454028,[],[],0.0
25,Place of Worship,Church,St Alban Anglican Church,-37.7942169477929,144.94161451392,[],[],0.0
26,Place of Worship,Church,Christ Church Kensington,-37.7932109480553,144.92729572288,[],[],0.0
27,Place of Worship,Church,Holy Rosary,-37.7948087414394,144.928362125005,[],[],0.0
28,Place of Worship,Church,Collins Street Baptist Church,-37.8147011904647,144.968072486031,"['The Melbourne Athenaeum Library', 'Scots Church', 'Athanaeum Theatre']","[2, 12, 168]",3.0
29,Place of Worship,Church,St Thomas Aquinas Church,-37.8353076902578,144.97680908047198,[],[],0.0
30,Place of Worship,Church,South Yarra Presbyterian Church,-37.8407473645397,144.98562699348,[],[],0.0
31,Place of Worship,Church,The Parish of Christ Church South Yarra,-37.8386270533576,144.986009385387,[],[],0.0
32,Health Services,Private Hospital,Melbourne Private Hospital,-37.79831113096979,144.95728837725,[],[],0.0
33,Place of Worship,Synagogue,East Melbourne Synagogue,-37.809113728917,144.97422190953998,[],[],0.0
38,Leisure/Recreation,Major Sports & Recreation Facility,State Netball Hockey Centre,-37.7857860016289,144.947580972027,[],[],0.0
39,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),University Square,-37.800410711209004,144.96039831930202,[],[],0.0
40,Transport,Transport Terminal,Port of Melbourne,-37.8137384362671,144.91753432375,[],[],0.0
41,Leisure/Recreation,Private Sports Club/Facility,Royal Park Golf Course,-37.781917130855796,144.956309119368,[],[],0.0
42,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Powlett Reserve,-37.811692988249796,144.987275671763,[],[],0.0
44,Leisure/Recreation,Major Sports & Recreation Facility,Carlton Football Club,-37.7840864379557,144.961967841559,['Visy Park'],[45],1.0
45,Leisure/Recreation,Major Sports & Recreation Facility,Visy Park,-37.7834303940347,144.96198257755302,['Carlton Football Club'],[44],1.0
46,Retail,Retail,Queen Victoria Market,-37.8075002018073,144.957158515056,[],[],0.0
49,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Carlton Gardens North,-37.80176908474029,144.971997551189,[],[],0.0
50,Place Of Assembly,Art Gallery/Museum,Old Melbourne Gaol Crime & Justice Experience,-37.8077644149636,144.965463853978,[],[],0.0
51,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Kings Domain,-37.825523979583295,144.974107925144,[],[],0.0
54,Place Of Assembly,Theatre Live,FairFax Studio,-37.821668458188704,144.968836241692,"['Playhouse', 'State Theatre', 'Victorian Arts Centre']","[55, 56, 87]",3.0
55,Place Of Assembly,Theatre Live,Playhouse,-37.8218124583016,144.968337832721,"['FairFax Studio', 'State Theatre', 'Victorian Arts Centre']","[54, 56, 87]",3.0
56,Place Of Assembly,Theatre Live,State Theatre,-37.8212806349773,144.968469643744,"['FairFax Studio', 'Playhouse', 'Victorian Arts Centre']","[54, 55, 87]",3.0
58,Place Of Assembly,Theatre Live,St Martins Youth Arts Centre,-37.8352429531289,144.98114217385,[],[],0.0
59,Leisure/Recreation,Major Sports & Recreation Facility,Flemington Racecourse,-37.7908082646624,144.912142987372,[],[],0.0
60,Transport,Railway Station,Southern Cross Railway Station,-37.8181633057171,144.952944748845,[],[],0.0
61,Place Of Assembly,Theatre Live,Princess Theatre,-37.8107257091302,144.97232659620002,[],[],0.0
62,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Treasury Gardens,-37.8143993575938,144.975952335785,[],[],0.0
64,Community Use,Public Buildings,State Library Victoria,-37.8099852201226,144.964330322397,"['Church of Christ', 'Melbourne Central Railway Station']","[11, 201]",2.0
65,Place Of Assembly,Theatre Live,Regent Theatre,-37.816001474417895,144.967916735261,[],[],0.0
66,Mixed Use,Retail/Office,Treasury Reserve,-37.8129178793082,144.975236759799,[],[],0.0
68,Health Services,Private Hospital,Epworth Freemasons Hospital : Medical Centre,-37.8093444587231,144.982336768182,[],[],0.0
69,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Batman Park,-37.8218460949601,144.956665812218,[],[],0.0
72,Transport,Railway Station,Flagstaff Railway Station,-37.8122356514626,144.956318211113,['Flagstaff Railway Station'],[161],1.0
74,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Richmond Football Club,-37.8216740022008,144.988156318781,[],[],0.0
75,Leisure/Recreation,Major Sports & Recreation Facility,Melbourne Cricket Ground (MCG),-37.8194921618419,144.983402879078,['Thoroughbred Racing Gallery'],[99],1.0
