toilet_id,poi_id,name,female,male,wheelchair,lat,lon,distance
1,1,Public Toilet - Town Hall Melbourne (200 Collins Street),yes,yes,yes,-37.81521576619692,144.96694328510318,6.399729737134266
2,1,Public Toilet - Toilet 46 - Bourke Street (opposite 225 Bourke Street),yes,yes,yes,-37.81324543360198,144.96689658968143,6.669144077065045
3,1,Public Toilet - Toilet 6 - Elizabeth Street (Toilet Adjacent 200 Elizabeth Street),yes,no,no,-37.813837792176315,144.96309721024045,22.597263069463864
1,2,Public Toilet - Town Hall Melbourne (200 Collins Street),yes,yes,yes,-37.81521576619692,144.96694328510318,3.0488744488594883
2,2,Public Toilet - Toilet 46 - Bourke Street (opposite 225 Bourke Street),yes,yes,yes,-37.81324543360198,144.96689658968143,10.755593738443533
3,2,Public Toilet - Toilet 41 - Flinders Street (No 245 Flinders Street Station),yes,yes,yes,-37.817903197056154,144.9662642552638,20.316103436148026
1,3,Public Toilet - Toilet 145 - Carlton Gardens South (Opposite 39 Rathdowne Street),yes,yes,yes,-37.80625893301874,144.9692027022002,13.143686283276848
2,3,Public Toilet - Toilet 138 - Carlton Gardens North (Opposite 199 Rathdowne Street),yes,yes,yes,-37.802645554985105,144.969821287215,23.677584180033726
3,3,Public Toilet - Toilet 124 - Nicholson Street (1A Nicholson Street),no,yes,no,-37.80945202894246,144.97307695563703,24.443498910689065
1,4,Public Toilet - Toilet 6 - Elizabeth Street (Toilet Adjacent 200 Elizabeth Street),no,yes,no,-37.81343920794399,144.9629227264507,10.408335545070603
2,4,Public Toilet - Toilet 6 - Elizabeth Street (Toilet Adjacent 200 Elizabeth Street),yes,no,no,-37.813837792176315,144.96309721024045,13.169389235185557
3,4,Public Toilet - Toilet 36 - Lonsdale Street (Opposite 424 Lonsdale Street),yes,yes,yes,-37.8129330992456,144.9600121469519,16.674604342725623
1,5,Public Toilet - Toilet 12 - Exhibition Street (Opposite 242 Exhibition Street),no,yes,no,-37.80954604636232,144.9694071187106,8.768734901923954
2,5,Public Toilet - Toilet 11 - Lonsdale Street (Opposite 88 Lonsdale Street),yes,yes,yes,-37.8100356799286,144.9699024633049,11.020467096970018
3,5,Public Toilet - Toilet 7 - Latrobe Street (Adjacent 120 La Trobe Street),no,yes,no,-37.80894206847336,144.96564884552268,17.753023393976605
1,6,Public Toilet - Toilet 1 - Lonsdale Street (Opposite 581 Lonsdale Street),yes,yes,yes,-37.814345522392365,144.9551179464378,16.843513588883972
2,6,Public Toilet - Toilet 169 - Batman Park (2A Spencer Street),yes,yes,yes,-37.82172068166997,144.95557809313962,30.61114960712158
